"e-mail,NAME,GENDER,SIZE,EVENT,RATING,PAYMENT,AMOUNT"
"greasyhands@gmail.com,Serah love,F,STRAIGHT,runway,7,bank transfer,1M"
"adebuavani@gmail.com,Cohen Boy,M,STRAIGHT,photoshoot,8,cash,3.5M"
"luisv@gmail.com,Its your girl Nita,F,STRAIGHT,advert,5,cash,2.5M"
"henceforth1@gmail.com,Kendal Lohan,M,STRAIGHT,photoshoot,8,bank transfer,2M"
"triplentente@gmail.com,Cohen Boy,M,STRAIGHT,advert,9,bank transfer,2M"
"soulfulco@gmail.com,Lizzie,F,PLUS,advert,6,bank transfer,1.5M"
"certainty@gmail.com,Quierrahz K,F,PLUS,advert,7,bank transfer,5M"
"definetelytrendy1@gmail.com,Naomi C,F,STRAIGHT,runway,9,bank transfer,6.8M"
"glowbabyglow@gmail.com,Naomi C,F,STRAIGHT,runway,10,bank transfer,8M"
"certifiedbaddie@gmail.com,Naomi C,F,STRAIGHT,photoshoot,9,bank transfer,7.6M"
"winkwink@gmail.com,Kish KISH,M,PLUS,advert,5,bank transfer,1M"
"Gogirl10@gmail.com,Kish KISH,M,PLUS,runway,6,cash,1.2M"
"yuhuuuuuuuuu@yahoo.fr,Kendal Lohan,M,STRAIGHT,photoshoot,8,cash,6M"
"forrealfornotreallyreal@gmail.com,Serah love,F,STRAIGHT,photoshoot,9,bank transfer,7M"
"uptops@gmail.com,Kendal Lohan,M,STRAIGHT,runway,9,bank transfer,7.4M"
"fendi@gmail.com,Keziah.B,F,PLUS,advert,7,cash,7M"
"cocoandchanel@gmail.com,Lizzie,F,PLUS,runway,10,cash,8.3M"
